name,userid,highestTrophies,trophies,3vs3Victories,expPoints,name,userid,highestTrophies,trophies,3vs3Victories,expPoints,name,userid,highestTrophies,trophies,3vs3Victories,expPoints,winrate,winrate,winrate,usage,usage,usage,victory
ANaruMax☺︎,#CGRVVVRJ,22403,21287,9341,207473,ぽーーすけ☺︎,#2VJV2U0,21560,20335,10049,163339,SHiNo‪‪☺︎‬￤しののん,#2LV08GGVV,20691,18887,9869,205732,66.1,68.82,74.85,1.04,1.7,3.25,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,66.33,78.57,4.0,3.52,1.47,1
일하라,#8QQ0GR20Y,14705,14677,1506,90382,깡통곱창,#2UUPYQ09L,11022,11001,1746,54038,物部麁鹿火,#JUJ99QJY,15066,14914,4577,98354,54.35,79.69,73.53,1.33,2.72,1.33,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,あかつき,#2U9CUQP0,27407,27407,26468,286240,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,67.57,66.33,78.57,4.0,3.52,1.47,0
えねちん,#800GP0L9P,7071,7071,1084,10718,エビ大好きユージオちゃん,#29RUQ8JL,24511,20563,18507,269620,Zenaas,#2JVRYRJG2,9989,9942,4536,77632,79.79,74.18,71.26,2.0,3.6,3.17,1
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,66.1,74.84,67.57,1.04,3.09,4.0,1
마지막퍼즐,#2CVY9VQ00,15749,15248,6166,119925,QLS|⚡️Messi⚡️,#PPCULRQV,17071,16140,3533,114965,ジャバやのぴてつ,#CQ0QYY9,15494,15372,4609,120049,66.33,67.57,78.57,3.52,4.0,1.47,0
zxgt0827,#2YU29PGC,20510,16592,17211,261975,♞七彩(๑•́ ₃ •̀๑)♞,#VVCYGQ9U,20340,18325,10183,254038,kikuichi,#2PYPJRLJQ,24210,19869,17222,269449,67.57,78.57,66.33,4.0,1.47,3.52,1
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,54.35,71.26,67.57,1.33,3.17,4.0,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,66.33,78.57,4.0,3.52,1.47,1
wigman,#YR2YLJ8P,21006,19843,10577,151122,JOKER,#P2J28PC,19205,17890,8011,148840,nozomu,#P2RGQ202J,795,662,3971,57700,54.35,79.79,66.33,1.33,2.0,3.52,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,78.57,66.33,4.0,1.47,3.52,0
ArtPłay'승기⚜️,#2YVUPYY2Q,22693,22608,14817,192627,♈️oRt2x:Ârť승수⛱,#2LCUVPJQC,25067,21214,22303,307493,ÂrtPłay’kÂo⚜️,#8PLL80JGR,22650,21756,22726,270023,82.17,79.69,71.26,2.82,2.72,3.17,1
さくーん,#LYGVRPG0,18357,16300,8708,133414,りと,#2YJY8J2V,17087,17072,6058,112183,vektriz,#29LQGQVQG,11243,10955,2122,69944,67.57,66.33,78.57,4.0,3.52,1.47,1
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,あかつき,#2U9CUQP0,27407,27407,26468,286240,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,66.1,74.84,78.95,1.04,3.09,1.2,0
Bad Shana,#9JVVVPQL,27094,27094,9304,130361,ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,あかつき,#2U9CUQP0,27407,27407,26468,286240,68.49,79.69,67.12,1.33,2.72,2.61,1
ブロスターα,#8Y2LG9JV0,18456,17368,7707,139404,天泪,#2L82VL9P8,19414,18391,5412,100830,らら,#LVUYJGCG,15486,15296,1688,50905,67.57,66.33,78.57,4.0,3.52,1.47,0
Fly Der.,#20RUJ9G0,15127,14953,6249,82870,ちゃんこう,#2PCYV08JP,19191,18825,4763,91879,KONOSUBA,#P22YYCV,16320,15991,5327,99638,67.57,66.33,78.57,4.0,3.52,1.47,1
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,78.95,77.08,78.57,1.2,2.96,1.47,0
orange,#2UQJRVUQQ,15270,14980,13518,199124,류서연,#998RUG88P,14749,14376,1625,79359,てんぱー,#LLCCGYCP,19033,18161,8134,148199,67.57,66.33,78.57,4.0,3.52,1.47,1
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,68.82,74.84,67.57,1.7,3.09,4.0,0
레드망고,#9Q2GQ2C0,16237,16066,5801,112450,초보 브린 ฅ• ˑ̫ • ฅ,#2V0PQV0P,19661,18613,23194,394855,⚘⚘⚘,#8JPJGR0YY,8704,8597,4316,70301,77.23,74.85,73.53,2.08,3.25,1.33,1
Bad Shana,#9JVVVPQL,27094,27094,9304,130361,ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,78.57,66.33,4.0,1.47,3.52,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,66.33,67.57,79.69,3.52,4.0,2.72,1
